"filename", "language", "JSON", "Python", "comment", "blank", "total"
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXPLOIT AGENT.ipynb", "JSON", -603, 0, 0, 0, -603
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/exploit_pipeline/attacker.py", "Python", 0, 156, 15, 96, 267
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/exploit_pipeline/exploitation_tools/Actuators.py", "Python", 0, 38, 20, 14, 72
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/exploit_pipeline/exploitation_tools/Brain.py", "Python", 0, 113, 170, 69, 352
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/exploit_pipeline/exploitation_tools/ExploitTools.py", "Python", 0, 112, 122, 51, 285
"Total", "-", -603, 419, 327, 230, 373
